Wls,LMS_low,LMS_low_pos,LMS_low_neg,LMS_high,LMS_high_pos,LMS_high_neg,Mel_low,Mel_low_pos,Mel_low_neg,Mel_high,Mel_high_pos,Mel_high_neg
394,2.47365e-05,2.3599e-05,2.5874e-05,5.912e-05,6.232e-05,5.592e-05,2.3954e-05,2.56665e-05,2.2241e-05,4.79065e-05,4.89345e-05,4.68785e-05
395,2.68266491613305e-05,2.56394788563121e-05,2.80137732763391e-05,5.84351590538782e-05,5.98829474101044e-05,5.698692047596e-05,3.01331015484797e-05,3.08852950062045e-05,2.93805008444037e-05,4.43845963844738e-05,4.64465441877309e-05,4.23229485873723e-05
396,2.9184e-05,2.8178e-05,3.01895e-05,6.167e-05,6.2025e-05,6.1315e-05,3.8046e-05,3.86695e-05,3.74225e-05,4.30235e-05,4.6953e-05,3.9094e-05
397,3.23477320072449e-05,3.14262680224071e-05,3.3267960351138e-05,7.24362403423308e-05,7.31828603929798e-05,7.1689051597696e-05,4.35166658892261e-05,4.53815330845404e-05,4.16524458749215e-05,4.91591132762926e-05,5.42730280443343e-05,4.40452486847152e-05
398,3.72455e-05,3.63825e-05,3.8108e-05,8.4195e-05,8.605e-05,8.234e-05,4.7551e-05,5.058e-05,4.4523e-05,5.9495e-05,6.4575e-05,5.4415e-05
399,4.53849228096899e-05,4.46617615540593e-05,4.6110822819109e-05,9.10667545767986e-05,9.36706110179763e-05,8.84662481332562e-05,5.31039848946158e-05,5.5799822655634e-05,5.04087781559103e-05,7.03948255103558e-05,7.42717811349319e-05,6.65173691737669e-05
400,6.0205e-05,5.956e-05,6.0855e-05,9.996e-05,0.000102235,9.769e-05,6.5745e-05,6.7285e-05,6.4205e-05,8.5495e-05,8.8405e-05,8.2585e-05
401,8.52970142539956e-05,8.45448732613555e-05,8.60523108724262e-05,0.000120179866350475,0.000120954070535115,0.000119406580869279,9.04166445323107e-05,9.10597387929237e-05,8.97732540014373e-05,0.000109972022182284,0.000113446472415938,0.000106500149620217
402,0.00012293,0.00012209,0.00012377,0.00015783,0.000157975,0.00015768,0.00012694,0.00012756,0.00012632,0.00014789,0.00015296,0.000142825
403,0.000173385207674328,0.000172676557900518,0.000174092808691186,0.000214763155021302,0.000216760606841563,0.000212758053389626,0.000173425811976141,0.000175085597172671,0.000171766705838341,0.000200559585760507,0.000207344829201316,0.000193779532345364
404,0.000230315,0.00022981,0.00023082,0.00027903,0.0002831,0.000274955,0.000226265,0.00022898,0.00022355,0.00025939,0.00026725,0.000251535
405,0.000286838405048693,0.000286397645136571,0.000287280829362829,0.000338243138564317,0.000342282252098631,0.000334206205572215,0.000281300107563124,0.000284091622516391,0.000278505547645201,0.000315524009775687,0.000323480460778798,0.000307573595998328
406,0.00034057,0.00033993,0.00034121,0.000392065,0.00039527,0.000388865,0.0003339,0.000336245,0.00033155,0.00036894,0.000377215,0.00036067
